Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
VKTX,2023-03-16,2023-03-22,10.6,9.42,-11.05,StopLoss,-224937.62
DUOL,2023-03-16,2023-04-27,122.97,137.85,12.09,TrendExit,246250.97
VKTX,2023-04-27,2023-05-26,20.42,20.84,2.05,RankDrop,47442.78
FCNCA,2023-05-26,2023-06-27,1249.2,1175.59,-5.89,RankDrop,-198958.59
NVDA,2023-03-22,2023-08-03,26.81,43.64,62.78,TrendExit,1606910.92
CVNA,2023-08-03,2023-08-07,10.22,9.25,-9.51,StopLoss,-404021.27
XP,2023-06-27,2023-08-11,20.15,22.43,11.29,TrendExit,386551.24
BBIO,2023-08-11,2023-08-18,32.31,27.94,-13.53,StopLoss,-658423.06
AAOI,2023-08-07,2023-09-06,11.08,12.94,16.86,TrendExit,646186.94
APP,2023-09-06,2023-09-21,42.28,38.36,-9.28,RankDrop,-373662.18
CORT,2023-09-21,2023-10-02,31.78,27.23,-14.32,StopLoss,-249629.39
APP,2023-10-02,2023-10-19,40.17,39.35,-2.05,RankDrop,-33231.39
VRT,2023-08-18,2023-11-02,35.29,40.76,15.49,RankDrop,572761.82
FN,2023-10-19,2023-11-02,168.01,156.17,-7.05,RankDrop,-118907.07
PGR,2023-11-02,2023-12-15,146.13,138.67,-5.1,RankDrop,-217713.83
CRWD,2023-11-02,2024-01-02,47.29,62.83,32.87,RankDrop,1031279.66
QXO,2024-01-02,2024-01-16,111.76,100.38,-10.18,StopLoss,-408100.09
GAP,2023-12-15,2024-01-19,19.66,17.19,-12.56,StopLoss,-541770.3
PVH,2024-01-16,2024-02-14,118.18,128.39,8.64,RankDrop,318916.84
S,2024-01-19,2024-02-29,24.9,28.64,15.03,RankDrop,497765.57
VKTX,2024-02-14,2024-03-12,31.46,64.03,103.54,TrendExit,4343610.21
KNSL,2024-03-12,2024-04-04,502.03,454.62,-9.44,StopLoss,-810595.32
NVDA,2024-02-29,2024-04-08,78.9,88.4,12.03,TrendExit,1511076.93
